ticker,cnpj,nome,segmento,classe,frac_imoveis
0PJW11,62.731.360/0001-10,TRIPLO A RESIDENCIAL FUNDO DE INVESTIMENTO IMOBI,Tijolo (outros),tijolo,0.59
0PJZ11,62.683.216/0001-56,FII WINGS RENDA IMOBILIÁRIA MASTER,Tijolo (outros),hibrido,0.52
0PL011,62.529.006/0001-08,METROPOLITANO BETIM FII - RESP LTDA,Tijolo (outros),tijolo,1.63
0PO511,62.811.491/0001-08,LCP LOTES FUNDO DE INVESTIMENTO IMOBILIA,Tijolo (outros),tijolo,0.95
0PP211,62.855.536/0001-46,LOTUS TOWER II FII,Tijolo (outros),tijolo,1.84
0PT411,36.420.742/0001-13,MAUÁ CAPITAL LAJES CORPORATIVAS FII,Lajes,tijolo,1.76
0PVQ11,62.995.191/0001-26,BGR GALPÕES LOGÍSTICOS I MASTER FII,Logística,tijolo,1.88
0PYD11,23.768.027/0001-24,TOP CENTER FII RL,Tijolo (outros),tijolo,1.2
0PYE11,43.008.884/0001-33,MAUÁ PROP INVEST FII,Tijolo (outros),hibrido,0.23
0PYG11,55.315.760/0001-80,PDP ALLOS FII,Tijolo (outros),tijolo,1.88
0PYH11,57.882.804/0001-89,RIZA THERA FII,Tijolo (outros),tijolo,1.82
0PYJ11,41.394.946/0001-67,CONTE ROSSO FII,Tijolo (outros),tijolo,3.1
0PYN11,43.009.610/0001-69,RBR MALLS FII,Shopping/Varejo,tijolo,1.35
0Q8X11,62.950.991/0001-20,JS RENDA IMOBILIARIA FI IMOBILIARIO RESP LIMITAD,Tijolo (outros),tijolo,0.8
0Q9211,60.619.652/0001-30,KRONOLOG I FII RESP LTDA,Logística,tijolo,4.99
0QBB11,63.416.131/0001-74,TREVISO RESIDENCIAL FII RESP LIMITADA,Tijolo (outros),hibrido,0.41
0QCY11,61.911.799/0001-62,SC JIVEMAUÁ CORPORATE FII,Lajes,tijolo,1.92
0QJ411,63.806.554/0001-09,HIREFII RESPONSABILIDADE LIMITADA,Tijolo (outros),tijolo,3.0
0QZU11,63.787.595/0001-97,GUARDIAN CORPORATE FII,Lajes,tijolo,1.93
0R5L11,63.240.822/0001-60,RIZA ATRIA FII,Tijolo (outros),tijolo,2.83
ABCP11,01.201.140/0001-90,GRAND PLAZA SHOPPING FII DE RESPONSABILIDADE LIM,Shopping/Varejo,tijolo,1.95
ADSH11,63.375.304/0001-53,AD SHOPPING FII RESP LIMITADA,Shopping/Varejo,tijolo,3.86
AIEC11,35.765.826/0001-26,ARCH EDIFICIOS CORPORATIVOS FII,Lajes,tijolo,1.81
AJFI11,51.472.985/0001-99,AJ MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,Shopping/Varejo,tijolo,2.03
ALMI11,07.122.725/0001-00,TORRE ALMIRANTE FII,Tijolo (outros),tijolo,1.89
ALVS11,15.447.110/0001-73,SHOPP CIDADE JD FII,Tijolo (outros),tijolo,2.0
ALZR11,28.737.771/0001-85,ALIANZA TRUST FII RL,Tijolo (outros),tijolo,1.77
ANCR11,07.789.135/0001-27,FUNDO DE INVESTIMENTO IMOBILIÁRIO ANCAR IC,Tijolo (outros),tijolo,1.41
ANGC11,14.413.342/0001-48,FII RENDA CORPORATIVA ANGICO,Lajes,tijolo,1.76
APXM11,43.010.485/0001-07,APEX MALLS FII,Shopping/Varejo,tijolo,0.97
AQLL11,13.555.918/0001-49,AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),hibrido,0.55
ARFI11,14.069.202/0001-02,AQ3 RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,2.27
AROA11,44.674.528/0001-11,FII AROEIRA 333 RENDA LOGISTICA,Logística,tijolo,1.96
ASMT11,38.293.921/0001-62,DAYCOVAL RE MULTIESTRATÉGIA FII RL,Tijolo (outros),tijolo,1.68
ATCR11,14.631.148/0001-39,HAZ FUNDO DE INVESTIMENTO IMOBILIARIO,Tijolo (outros),tijolo,0.94
ATRN11,12.401.858/0001-47,ATRIUM FII,Tijolo (outros),tijolo,5.19
ATSA11,12.809.972/0001-00,HEDGE ATRIUM SHOPPING SANTO ANDRÉ FUNDO DE INVES,Shopping/Varejo,tijolo,1.93
AURB11,41.076.823/0001-88,ALIANZA URBAN FII RL,Renda Urbana,tijolo,3.77
AZPE11,55.985.307/0001-80,FII AZ QUEST PANORAMA CREDITO,Tijolo (outros),tijolo,0.96
AZPL11,51.890.054/0001-00,AZ QUEST PANORAMA LOGISTICA FII RESP LIM,Logística,tijolo,0.55
AZPR11,51.665.327/0001-13,AZ PANORAMA CRÉDITO IMOBILIÁRIO FII,Tijolo (outros),tijolo,0.58
BBIG11,54.375.187/0001-37,BB PREMIUM MALLS FII DE RESPONSABILIDADE LIMITAD,Shopping/Varejo,tijolo,3.45
BBPO11,14.410.722/0001-29,TIVIO RENDA IMOBILIÁRIA,Tijolo (outros),tijolo,1.9
BBRC11,12.681.340/0001-04,BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBI,Lajes,tijolo,1.81
BETW11,51.666.294/0001-26,BRPR E-TOWER FII SUB,Tijolo (outros),tijolo,1.98
BIPD11,42.869.892/0001-01,BRIO REAL ESTATE IV - FII,Tijolo (outros),tijolo,0.8
BLCA11,41.076.748/0001-55,CATUAÍ VBI FII RL,Tijolo (outros),tijolo,4.47
BLCP11,35.652.060/0001-73,BLUECAP LOG FII,Logística,tijolo,1.99
BLMG11,34.081.637/0001-71,BLUEMACAW LOGÍSTICA FUNDO INVESTIMENTO,Logística,hibrido,0.35
BLMO11,34.895.894/0001-47,VBI OFFICE FUND II FII,Lajes,tijolo,1.92
BLOG11,49.592.781/0001-40,BLUECAP LOG FUNDO DE INVESTIMENTO IMOBILIARIO,Logística,tijolo,1.78
BMLC11,14.376.247/0001-11,BM BRASCAN LAJES FII,Lajes,tijolo,1.95
BNFS11,15.570.431/0001-60,BANRISUL NOVAS FRONTEIRAS FII,Tijolo (outros),tijolo,1.87
BPCA11,38.294.086/0001-85,FII BTGP AAA CORP,Tijolo (outros),tijolo,2.09
BPG111,21.044.600/0001-21,BPGB-001 FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,1.97
BPLC11,28.267.555/0001-13,BASILICA PARTNERS LED COPORATE FII,Tijolo (outros),tijolo,1.99
BPML11,33.046.142/0001-49,BTGP SHOPPINGS FII,Shopping/Varejo,tijolo,1.38
BPRP11,29.800.650/0001-01,BRLPROP FII,Tijolo (outros),tijolo,1.98
BRCO11,20.748.515/0001-81,BRESCO LOGISTICA FUNDO DE INVESTIMENTO IMOBILIÁR,Logística,tijolo,1.67
BRCR11,08.924.783/0001-01,BC FUND FII,Tijolo (outros),tijolo,1.78
BRDF11,18.289.950/0001-43,BIRD FII - FII,Tijolo (outros),tijolo,1.59
BRHT11,15.461.076/0001-91,FUNDO DE INVESTIMENTO IMOBILIÁRIO BR HOTÉIS,Tijolo (outros),tijolo,1.87
BRIX11,35.360.651/0001-77,BE IN RIO FII RESP LTDA,Tijolo (outros),tijolo,2.32
BRLA11,35.652.278/0001-28,RAIZZ RENDA LOG FII,Logística,tijolo,1.73
BROF11,48.978.859/0001-04,BRPR CORPORATE FII,Lajes,tijolo,1.87
BRRI11,20.680.775/0001-62,FII BRISA RE IMOB RL,Tijolo (outros),tijolo,1.53
BTAL11,36.642.244/0001-15,BTGP AGRO LOG FII,Logística,tijolo,1.33
BTHI11,18.308.516/0001-63,BTG HOTEIS FII,Tijolo (outros),tijolo,1.97
BTHR11,60.329.826/0001-20,BTG HOSP RET TOT FII,Tijolo (outros),tijolo,1.71
BTLG11,11.839.593/0001-09,BTGP LOGISTICA FII,Logística,tijolo,1.8
BTML11,36.501.210/0001-00,BARRA MALLS FUNDO DE INVESTIMENTO IMOBILIARIO,Shopping/Varejo,tijolo,1.94
BTRA11,41.076.607/0001-32,TERRAS AGRICOLAS FII,Tijolo (outros),tijolo,0.97
BTSG11,36.098.375/0001-83,BTSP I FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,1.99
BTSI11,36.930.464/0001-44,BTSP II FUNDO DE INVESTIMENTO IMOBILIÁRI,Tijolo (outros),tijolo,1.99
BTWR11,20.132.453/0001-89,BTOWERS FUNDO INVESTIMENTO IMOBILIARIO,Tijolo (outros),tijolo,1.98
BTYU11,54.645.216/0001-33,FII BTGP YOU,Tijolo (outros),tijolo,1.17
BVAR11,21.126.204/0001-43,FUNDO DE INVESTIMENTO IMOBILIÁRIO BRASIL VAREJO,Shopping/Varejo,tijolo,1.3
CARE11,13.584.584/0001-31,BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FII,Tijolo (outros),tijolo,1.97
CBOP11,17.144.039/0001-85,CASTELLO BRANCO OFFICE PARK  - FII,Lajes,tijolo,1.98
CCME11,43.010.844/0001-26,CANUMA CAPITAL FII,Tijolo (outros),hibrido,0.35
CCVA11,52.713.882/0001-36,CANUMA RENDA FII,Tijolo (outros),tijolo,1.94
CDUP11,30.492.505/0001-81,FUNDO DE INVESTIMENTO IMOBILIARIO CCPAR,Tijolo (outros),tijolo,1.0
CENU11,37.899.356/0001-19,FII CENU,Tijolo (outros),tijolo,1.99
CEOC11,15.799.397/0001-09,CEO CYRELA FII,Tijolo (outros),tijolo,1.83
CFII11,41.325.993/0001-59,CF3 FUNDO DE INVESTIMENTO IMOBILIARIO,Tijolo (outros),tijolo,1.61
CHLL11,18.950.957/0001-64,CHALLENGER FUNDO DE INVESTIMENTO IMOBILIÁRIO - F,Tijolo (outros),tijolo,2.05
CJCT11,10.347.985/0001-80,CIDADE JARDIM CONTINENTAL TOWER FII,Tijolo (outros),tijolo,1.99
CJFI11,23.582.914/0001-03,FII CJ,Tijolo (outros),tijolo,1.93
CLSM11,63.811.693/0001-12,CITLOG SUL DE MINAS FII DE RESP LIMITADA,Logística,tijolo,2.72
CNES11,13.551.286/0001-45,CENESP FII,Tijolo (outros),tijolo,1.85
COPP11,48.916.699/0001-60,CAPITÂNIA OFFICE FII,Lajes,tijolo,1.18
CPLG11,52.371.756/0001-40,CAPITANIA LOGISTICA FII,Logística,tijolo,0.83
CSMC11,41.081.336/0001-03,COSMIC FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,1.85
CTXT11,00.762.723/0001-28,FUNDO DE INV. IMOBILIARIO CENTRO TEXTIL INTERNAC,Tijolo (outros),tijolo,1.97
CVFL11,60.619.575/0001-19,CATUAI VISTA FL FII RL,Tijolo (outros),tijolo,4.84
CXAG11,40.189.596/0001-34,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGENCIAS,Renda/Especial,tijolo,1.94
CXCE11,10.991.914/0001-15,FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA CEDAE,Tijolo (outros),tijolo,1.87
CXCO11,38.658.984/0001-75,FII CAIXA IMÓVEIS CORPORATIVOS,Lajes,tijolo,1.96
DAMT11,26.642.727/0001-66,DIAMANTE FII RL,Tijolo (outros),tijolo,1.92
DRIT11,10.456.810/0001-00,DRIT11 FII,Tijolo (outros),tijolo,1.18
DUTR11,19.267.845/0001-76,VGS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Tijolo (outros),tijolo,1.92
EAGL11,54.422.883/0001-57,NEST EAGLE FII,Tijolo (outros),tijolo,2.1
EDGA11,15.333.306/0001-37,GALERIA FII,Tijolo (outros),tijolo,1.97
ELDO11,13.022.994/0001-99,FII ELDORADO FII  RESPONSABILIDADE LIMITADA,Tijolo (outros),tijolo,1.98
ERPA11,31.469.385/0001-64,EUROPA 105 FII,Tijolo (outros),tijolo,1.97
EURO11,05.437.916/0001-27,F.I.I EUROPAR RESPONSABILIDADE LIMITADA,Tijolo (outros),tijolo,1.43
EVBI11,34.691.520/0001-00,CAPITANIA HBC II FII,Tijolo (outros),tijolo,2.68
EXTU11,12.358.507/0001-09,EXITUS FIAGRO IMOBILIARIO,Tijolo (outros),tijolo,0.89
EZTB11,18.312.285/0001-61,PRIME OFFICES I FII,Lajes,tijolo,5.13
FAED11,11.179.118/0001-45,ANHANGUERA FII,Tijolo (outros),tijolo,1.97
FAMB11,05.562.312/0001-02,FII EDIFÍCIO ALMIRANTE BARROSO,Tijolo (outros),tijolo,1.99
FATN11,30.567.216/0001-02,BRC RENDA CORPORATIVA FII - RESPONSABILIDADE LIM,Lajes,tijolo,2.26
FCFL11,11.602.654/0001-01,CAMPUS FARIA LIM FII,Tijolo (outros),tijolo,1.99
FIGS11,17.590.518/0001-25,GENERAL SHOPPING ATIVO E RENDA FUNDO DE INVEST I,Shopping/Varejo,tijolo,1.9
FIIB11,14.217.108/0001-45,F.I.I. INDUSTRIAL DO BRASIL SOCIEDADE LIMITADA,Logística,tijolo,1.84
FIIP11,08.696.175/0001-97,RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILI,Tijolo (outros),tijolo,1.96
FINF11,18.369.510/0001-04,FUNDO DE INVESTIMENTO IMOBILIÁRIO INFRA REAL EST,Tijolo (outros),tijolo,1.12
FISC11,12.804.013/0001-00,FII SC 401 - RESPONSABILIDADE LIMITADA,Tijolo (outros),tijolo,1.97
FISP11,13.598.226/0001-88,FUNDO DE INVESTIMENTO IMOBILIÁRIO DO ESTADO DE S,Tijolo (outros),tijolo,0.77
FIVN11,17.854.016/0001-64,FUNDO DE INVESTIMENTO IMOBILIÁRIO VIDA NOVA - FI,Tijolo (outros),tijolo,2.24
FLEM11,48.565.175/0001-72,051 AGRO FAZENDAS II FI NAS CANDEIAS PRODUTIVAS ,Tijolo (outros),tijolo,1.88
FLFL11,50.808.042/0001-21,VBI TR FARIA LIMA 4440 FI IMOB,Tijolo (outros),tijolo,1.98
FLMA11,04.141.645/0001-03,FII CONTINENTAL SQUARE FARIA LIMA - RESP. LIMITA,Tijolo (outros),tijolo,2.0
FLRP11,10.375.382/0001-91,HEDGE FLORIPA SHOPPING FII,Shopping/Varejo,tijolo,1.98
FMOB11,34.691.925/0001-48,IMMOB III FUNDO DE INVESTIMENTO IMOBILIARIO - FI,Tijolo (outros),tijolo,1.9
FNDA11,13.726.079/0001-84,SONDA FDO INVEST IMOB RESP LTDA,Tijolo (outros),tijolo,1.27
FPAB11,03.251.720/0001-18,FII PROJ AGUA BRANCA,Tijolo (outros),tijolo,1.89
FPNG11,17.161.979/0001-82,FII PEDRA NEGRA RENDA IMOBILIÁRIA - RESP. LIMITA,Tijolo (outros),tijolo,2.23
FTCE11,01.235.622/0001-61,OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,1.19
FTLZ11,01.601.918/0001-59,FORTALEZA FUNDO DE INVESTIMENTO IMOBILIÁRIO DE R,Tijolo (outros),hibrido,0.34
FVPQ11,00.332.266/0001-31,VIA PARQUE SHOPPING FII RESP LTDA,Shopping/Varejo,tijolo,1.93
FZDA11,44.625.694/0001-28,051 AGRO FI NAS CADEIAS PRODUTIVAS AGROINDUSTRIA,Tijolo (outros),tijolo,2.07
FZDB11,49.489.928/0001-70,051 AGRO FAZ III FDO INV NAS CAD PROD AGRO - FIA,Tijolo (outros),tijolo,1.97
G5JF11,22.340.978/0001-35,G5 JOMAFIL - FUNDO DE INVESTIMENTO IMOBILIARIO -,Tijolo (outros),tijolo,1.7
GARE11,37.295.919/0001-60,FII GUARDIAL LOGISTICA,Logística,hibrido,0.32
GCRI11,38.293.897/0001-61,GALAPAGOS CRI FII,Tijolo (outros),hibrido,0.21
GGRC11,26.614.291/0001-00,GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁR,Tijolo (outros),tijolo,1.6
GLDN11,17.282.011/0001-04,GOLDEN FII RL,Tijolo (outros),tijolo,2.64
GLOG11,36.501.198/0001-34,GENIAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁR,Logística,tijolo,1.95
GRIV11,11.326.746/0001-06,TAG GR IV FUNDO DE INVESTIMENTO IMOB,Tijolo (outros),tijolo,1.13
GRRO11,30.871.716/0001-25,GREEN FII ROCK,Tijolo (outros),tijolo,1.7
GRUL11,54.483.412/0001-59,ICATU VAN GRU LOG FII,Logística,tijolo,1.99
GSFI11,11.769.604/0001-13,GENERAL SHOPPING E OUTLETS DO BRASIL FII,Shopping/Varejo,tijolo,2.86
GTWR11,23.740.527/0001-58,FUNDO DE INVESTIMENTO IMOBILIÁRIO GREEN TOWERS,Tijolo (outros),tijolo,1.96
HAAA11,27.445.482/0001-40,HEDGE AAA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,3.71
HBCR11,36.501.159/0001-37,FII HBC RENDA URBANA,Renda Urbana,tijolo,1.18
