ticker,cnpj,nome,segmento,classe,frac_imoveis
MIST11,01.497.954/0001-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,Tijolo (outros),tijolo,1.99
MMVE11,41.251.337/0001-59,MARESIAS OPORTUNIDADES IMOBILIARIAS FII,Tijolo (outros),tijolo,1.0
MTOF11,22.862.226/0001-34,ALIANZA MULTIOFFICES - FUNDO DE INVESTIMENTO IMO,Lajes,tijolo,2.35
MVFI11,23.537.203/0001-17,FII MV9,Tijolo (outros),tijolo,1.7
NELO11,30.495.165/0001-42,NE LOGISTIC FUNDO DE INVESTIMENTO IMOBILIÁRIO,Logística,tijolo,1.44
NEWL11,32.527.626/0001-47,NEWPORT LOGISTICA FII,Logística,tijolo,2.45
NEWU11,14.793.782/0001-78,NEWPORT RENDA URBANA FII,Renda Urbana,tijolo,1.18
NSLU11,08.014.513/0001-63,HNS LOURDES FII,Tijolo (outros),tijolo,1.92
NVHO11,17.025.970/0001-44,FUNDO DE INVESTIMENTO IMOBILIARIO - FII NOVO HOR,Tijolo (outros),tijolo,1.99
NVIF11,22.003.469/0001-17,NOVA I FII,Tijolo (outros),tijolo,3.27
OBAL11,42.273.290/0001-97,OPPORTUNITY BALASSIANO FUNDO DE INVESTIMENTO IMO,Tijolo (outros),tijolo,2.0
PATB11,14.788.492/0001-36,PATEO BANDEIRANT FII,Tijolo (outros),tijolo,2.51
PATC11,30.048.651/0001-12,PATRIA EDIFICIOS CORPORATIVOS FII,Lajes,tijolo,2.0
PATL11,35.754.164/0001-99,PÁTRIA LOGÍSTICA FII,Logística,tijolo,1.93
PBLV11,31.962.875/0001-06,PROLOGIS BRAZIL LOGISTICS VENTURE FII,Logística,tijolo,1.77
PCAS11,24.514.406/0001-50,PRAIA DO CASTELO FUNDO DE INVESTIMENTO IMOBILIÁR,Tijolo (outros),tijolo,0.63
PMEP11,10.427.246/0001-06,PRIME P FII,Tijolo (outros),tijolo,4.4
PMOV11,01.636.325/0001-28,PATEO MOINHOS FII RL,Tijolo (outros),tijolo,1.94
PQAG11,12.978.943/0001-72,PARQUE ANHANGUERA FUNDO DE INVESTIMENTO IMOBILIÁ,Tijolo (outros),tijolo,2.01
PQDP11,10.869.155/0001-12,PDPSC FII,Tijolo (outros),tijolo,1.67
PRGD11,08.098.114/0001-28,HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOB,Tijolo (outros),tijolo,1.79
PVBI11,35.652.102/0001-76,VBI PRIME FII RL,Tijolo (outros),tijolo,1.63
QAGR11,32.754.734/0001-52,PATRIA AGRO FII RL,Tijolo (outros),tijolo,1.95
QNTS11,27.368.617/0001-10,FUNDO DE INVESTIMENTO IMOB. QUINTAS,Tijolo (outros),tijolo,1.0
RBCA11,18.330.535/0001-96,FII PETROS,Tijolo (outros),tijolo,1.93
RBFY11,62.662.477/0001-90,RIO BRAVO FOR YOU FII,Tijolo (outros),tijolo,2.35
RBGS11,13.652.006/0001-95,RB GEN SHOPPING SULACAP FUNDO DE INVESTIMENTO IM,Shopping/Varejo,tijolo,1.99
RBOP11,13.500.306/0001-59,FUNDO DE INVESTIMENTO IMOBILIÁRIO RB OPORTUNIDAD,Tijolo (outros),tijolo,1.8
RBRD11,09.006.914/0001-34,RB CAPITAL RENDA II - FII,Tijolo (outros),tijolo,1.92
RBRK11,53.391.653/0001-05,RBR PRIME OFFICES FI,Lajes,tijolo,2.19
RBRP11,21.408.063/0001-51,FUNDO DE INVESTIMENTO IMOBILIARIO RBR PROPERTIES,Tijolo (outros),tijolo,1.29
RBRS11,36.517.660/0001-91,RIO BRAVO RENDA RESIDENCIAL FII,Tijolo (outros),tijolo,1.92
