cd_cvm,nome,denom_social,denom_comerc,setor,setor_cvm,categ_reg,tp_merc,sit_emissor,sit_cvm,gov_listagem_default,cnpj,ticker_b3,controle_acionario,mun,uf,dt_const,dt_reg,auditor
23825,MOVIDA,MOVIDA PARTICIPAÇÕES S.A.,MOVIDA PARTICIPAÇÕES S.A.,Industria,Serviços Transporte e Logística,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,21.314.559/0001-66,MOVI3,PRIVADO HOLDING,SÃO PAULO,SP,2015,2016,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
25445,MPM CORPÓREOS,MPM CORPÓREOS S.A.,MPM CORPÓREOS S.A.,Saude,Serviços Médicos,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,26.659.061/0001-59,,PRIVADO,SÃO PAULO,SP,2016,2021,BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
17949,MRS LOGÍSTICA,MRS LOGÍSTICA S/A,MRS LOGÍSTICA S/A,Industria,Serviços Transporte e Logística,Categoria A,BALCÃO ORGANIZADO,FASE OPERACIONAL,ATIVO,2.0,01.417.222/0001-77,,PRIVADO,RIO DE JANEIRO,RJ,1996,1998,GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
20915,MRV ENGENHARIA,MRV ENGENHARIA E PARTICIPAÇÕES S/A,MRV ENGENHARIA,Imobiliario,"Construção Civil, Mat. Constr. e Decoração",Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,08.343.492/0001-20,MRVE3,PRIVADO,BELO HORIZONTE,MG,2006,2007,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
26034,MULTILASER,GRUPO MULTILASER S.A.,GRUPO MULTILASER S.A.,Comunicacao,Comunicação e Informática,Categoria A,,FASE OPERACIONAL,ATIVO,2.0,59.717.553/0001-02,,PRIVADO,SÃO PAULO,SP,1988,2021,GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
20982,MULTIPLAN,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,MULTIPLAN,Imobiliario,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,07.816.890/0001-53,MULT3,PRIVADO,RIO DE JANEIRO,RJ,2005,2007,KPMG AUDITORES INDEPENDENTES LTDA.
5312,MUNDIAL,MUNDIAL S.A - PRODUTOS DE CONSUMO,MUNDIAL,Consumo Disc.,Têxtil e Vestuário,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,88.610.191/0001-54,MNDL3,PRIVADO,SÃO PAULO,SP,1896,1979,TATICCA AUDITORES INDEPENDENTES S.S. - EPP
19550,NATURA,NATURA COSMETICOS SA,NATURA COSMETICOS SA,Saude,Farmacêutico e Higiene,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,71.673.990/0001-77,NTCO3,PRIVADO,SÃO PAULO,SP,1969,2004,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
24783,NATURA &CO,NATURA & CO HOLDING S.A.,NATURA & CO HOLDING S.A.,Saude,Farmacêutico e Higiene,Categoria A,BOLSA,FASE OPERACIONAL,CANCELADA,3.0,32.785.497/0001-97,,PRIVADO,SÃO PAULO,SP,2019,2019,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
15539,NEOENERGIA,NEOENERGIA S.A,NEOENERGIA S.A.,Utilities,Emp. Adm. Part. - Energia Elétrica,Categoria B,BOLSA,FASE OPERACIONAL,ATIVO,3.0,01.083.200/0001-18,NEOE3,PRIVADO,RIO DE JANEIRO,RJ,1996,1996,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
