cd_cvm,nome,denom_social,denom_comerc,setor,setor_cvm,categ_reg,tp_merc,sit_emissor,sit_cvm,gov_listagem_default,cnpj,ticker_b3,controle_acionario,mun,uf,dt_const,dt_reg,auditor
16659,PORTO SEGURO,PORTO SEGURO SA,PORTO SEGURO SA,Financeiro,Seguradoras e Corretoras,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,02.149.205/0001-69,PSSA3,PRIVADO,SÃO PAULO,SP,1997,1997,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
27600,PORTO SERVIÇO,PORTO SERVIÇO S.A,PORTO SERVIÇO S.A,Industria,Emp. Adm. Part. - Sem Setor Principal,Categoria A,,FASE OPERACIONAL,ATIVO,2.0,51.430.503/0001-38,,PRIVADO,BARUERI,SP,2023,2024,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
23523,PORTO SUDESTE V.M,PORTO SUDESTE V.M. S.A.,PORTO SUDESTE V.M. S.A.,Industria,Emp. Adm. Part. - Serviços Transporte e Logística,Categoria B,,FASE OPERACIONAL,ATIVO,2.0,18.494.485/0001-82,,PRIVADO,ITAGUAÍ,RJ,2013,2014,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
13773,PORTOBELLO,PBG S/A,PORTOBELLO S/A,Imobiliario,"Construção Civil, Mat. Constr. e Decoração",Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,83.475.913/0001-91,PTBL3,PRIVADO,FLORIANÓPOLIS,SC,1778,1991,KPMG AUDITORES INDEPENDENTES LTDA.
9717,PORTUENSE,PORTUENSE FERRAGENS S/A,PORTUENSE,Imobiliario,"Construção Civil, Mat. Constr. e Decoração",Categoria A,,FASE OPERACIONAL,ATIVO,2.0,04.912.242/0001-02,,PRIVADO,BELÉM,PA,1947,1977,AUDITAN - AUDITORIA INDEPENDENTE
20362,POSITIVO,POSITIVO TECNOLOGIA S.A.,POSITIVO INFORMATICA SA,Comunicacao,Comunicação e Informática,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,81.243.735/0001-48,POSI3,PRIVADO,CURITIBA,PR,1972,2006,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
24236,PRINER,PRINER SERVIÇOS INDUSTRIAIS S.A.,PRINER SERVIÇOS INDUSTRIAIS S.A.,Imobiliario,"Construção Civil, Mat. Constr. e Decoração",Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,18.593.815/0001-97,PRNR3,PRIVADO,RIO DE JANEIRO,RJ,2013,2017,FORVIS MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA.
22187,PRIO,PRIO S.A.,PETRO RIO S.A.,Energia,Petróleo e Gás,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,10.629.105/0001-68,PRIO3,PRIVADO HOLDING,RIO DE JANEIRO,RJ,2008,2010,KPMG AUDITORES INDEPENDENTES LTDA.
27740,PRIO FORTE,PRIO FORTE S.A.,PRIO FORTE S.A.,Energia,Petróleo e Gás,Categoria B,,FASE OPERACIONAL,ATIVO,2.0,08.926.302/0001-05,,PRIVADO,RIO DE JANEIRO,RJ,2007,2024,KPMG AUDITORES INDEPENDENTES LTDA.
27200,PRIO JAGUAR,PETRO RIO JAGUAR PETRÓLEO S.A.,PETRO RIO JAGUAR PETRÓLEO S.A.,Energia,Petróleo e Gás,Categoria B,BALCÃO ORGANIZADO,FASE OPERACIONAL,CANCELADA,2.0,02.031.413/0001-69,,PRIVADO,RIO DE JANEIRO,RJ,1997,2023,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
20346,PROFARMA,PROFARMA DISTRIB PROD FARMACEUTICOS S.A.,PROFARMA,Consumo Disc.,Comércio (Atacado e Varejo),Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,45.453.214/0001-51,PFRM3,PRIVADO HOLDING,RIO DE JANEIRO,RJ,1961,2006,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
23469,PROLAGOS,PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO,PROLAGOS S.A,Utilities,"Saneamento, Serv. Água e Gás",Categoria B,BALCÃO ORGANIZADO,FASE OPERACIONAL,ATIVO,2.0,02.382.073/0001-10,,PRIVADO,SÃO PEDRO DA ALDEIA,RJ,1998,2014,KPMG AUDITORES INDEPENDENTES LTDA.
19232,PROMAN,PRODUTORES ENERGET.DE MANSO S.A.- PROMAN,PROMAN,Utilities,Energia Elétrica,Categoria A,BALCÃO ORGANIZADO,FASE OPERACIONAL,ATIVO,2.0,02.291.077/0001-93,,PRIVADO,RIO DE JANEIRO,RJ,1997,2002,MCS MARKUP AUDITORES INDEPENDENTES S/S LTDA
18333,PROMPT PARTICIPAÇÕES,PROMPT PARTICIPAÇÕES S.A.,PROMPT PARTICIPAÇÕES S/A,Industria,Emp. Adm. Part. - Sem Setor Principal,Categoria A,,FASE OPERACIONAL,ATIVO,2.0,02.992.449/0001-09,,PRIVADO HOLDING,RIO DE JANEIRO,RJ,1998,1999,GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
24546,PRÁTICA KLIMAQUIP,PRÁTICA PRODUTOS S.A.,PRÁTICA KLIMAQUIP INDÚSTRIA E COMÉRCIO S.A.,Industria,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças",Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,08.574.411/0001-00,,PRIVADO,POUSO ALEGRE,MG,2006,2018,BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
22497,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Financeiro,Seguradoras e Corretoras,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,11.992.680/0001-93,QUAL3,PRIVADO,SÃO PAULO,SP,2010,2011,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
23302,QUALITY,QUALITY SOFTWARE S.A.,QUALITY SOFWARE S.A.,Comunicacao,Emp. Adm. Part. - Comunicação e Informática,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,35.791.391/0001-94,QUAL3,PRIVADO,RIO DE JANEIRO,RJ,1989,2013,"BKR - LOPES, MACHADO AUDITORES"
27855,QUANTUM PARTICIPAÇÕES,QUANTUM PARTICIPAÇÕES S.A,QUANTUM PARTICIPAÇÕES S.A,Utilities,Emp. Adm. Part. - Energia Elétrica,Categoria B,,FASE OPERACIONAL,ATIVO,2.0,28.367.479/0001-18,,PRIVADO,SÃO PAULO,SP,2017,2025,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
25038,QUERO-QUERO,LOJAS QUERO QUERO S.A.,LOJAS QUERO-QUERO S.A.,Consumo Disc.,Comércio (Atacado e Varejo),Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,96.418.264/0218-02,LJQQ3,PRIVADO,CACHOEIRINHA,RS,1967,2020,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
5258,RAIA DROGASIL,RAIA DROGASIL S.A.,DROGASIL SA,Consumo Disc.,Comércio (Atacado e Varejo),Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,61.585.865/0001-51,RADL3,PRIVADO,SÃO PAULO,SP,1935,1977,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
14109,RANDON,RANDONCORP S.A.,RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES,Industria,"Máquinas, Equipamentos, Veículos e Peças",Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,89.086.144/0001-16,RAPT4,PRIVADO,CAXIAS DO SUL,RS,1992,1993,KPMG AUDITORES INDEPENDENTES LTDA.
25917,RAÍZEN,RAÍZEN S.A.,RAÍZEN S.A.,Consumo Disc.,Comércio (Atacado e Varejo),Categoria A,,FASE OPERACIONAL,ATIVO,2.0,33.453.598/0001-23,,PRIVADO,RIO DE JANEIRO,RJ,1961,2021,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
23230,RAÍZEN ENERGIA,RAÍZEN ENERGIA S.A.,,Materiais,"Agricultura (Açúcar, Álcool e Cana)",Categoria B,BALCÃO ORGANIZADO,FASE OPERACIONAL,ATIVO,2.0,08.070.508/0001-78,,PRIVADO,SÃO PAULO,SP,2000,2013,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
25011,RBX RIO COMÉRCIO DE ROUPAS,GRUPO DE MODA SOMA S.A.,RBX RIO COMÉRCIO DE ROUPAS S.A.,Consumo Disc.,Têxtil e Vestuário,Categoria A,BOLSA,FASE OPERACIONAL,CANCELADA,3.0,10.285.590/0001-08,,PRIVADO,RIO DE JANEIRO,RJ,2008,2020,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
12572,RECRUSUL,RECRUSUL SA,RECRUSUL,Industria,"Máquinas, Equipamentos, Veículos e Peças",Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,91.333.666/0001-17,RCSL4,PRIVADO,PORTO ALEGRE,RS,1954,1985,CARRARO & ASSOCIADOS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES
24821,REDE D'OR,REDE D'OR SÃO LUIZ S.A.,REDE D'OR SÃO LUIZ S.A.,Saude,Serviços Médicos,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,06.047.087/0001-39,RDOR3,PRIVADO,SÃO PAULO,SP,2011,2019,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
3190,REDE ENERGIA PARTICIPAÇÕES,REDE ENERGIA PARTICIPAÇÕES S.A.,REDE ENERGIA PARTICIPAÇÕES S.A.,Utilities,Energia Elétrica,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,61.584.140/0001-49,REDE3,PRIVADO,CATAGUASES,MG,1929,1969,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
9989,REFINARIA DE PETRÓLEOS DE MANGUINHOS,REFINARIA DE PETRÓLEOS DE MANGUINHOS S.A. - EM RECUPERAÇÃO JUDICIAL,REFINARIA DE PETRÓLEOS DE MANGUINHOS S.A,Energia,Petróleo e Gás,Categoria A,BOLSA,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE,ATIVO,3.0,33.412.081/0001-96,RPMG3,PRIVADO,RIO DE JANEIRO,RJ,1946,1970,ANEND AUDITORES INDEPENDENTES
26921,REGENERA RIO,REGENERA RIO S.A.,REGENERA RIO S.A.,Utilities,"Saneamento, Serv. Água e Gás",Categoria B,,FASE OPERACIONAL,ATIVO,2.0,10.319.900/0001-50,,PRIVADO,SÃO PAULO,SP,2008,2022,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
7544,RENAUXVIEW,TÊXTIL RENAUXVIEW S/A,RENAUXVIEW,Consumo Disc.,Têxtil e Vestuário,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,82.982.075/0001-80,FTRX4,PRIVADO,BRUSQUE,SC,1925,1969,STEINBACH & AUDITORES ASSOCIADOS
21636,RENOVA ENERGIA,RENOVA ENERGIA S.A.,RENOVA ENERGIA S/A,Utilities,Energia Elétrica,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,08.534.605/0001-74,RNEW11,PRIVADO,SÃO PAULO,SP,2006,2008,RSM BRASIL AUDITORES INDEPENDENTES LTDA.
16527,RGE SUL,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.,Utilities,Energia Elétrica,Categoria B,,FASE OPERACIONAL,ATIVO,2.0,02.016.440/0001-62,,PRIVADO,SÃO LEOPOLDO,RS,1997,1997,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
4669,RIACHUELO,GUARARAPES CONFECÇÕES SA,GUARARAPES CONFECÇÕES,Consumo Disc.,Têxtil e Vestuário,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,08.402.943/0001-52,GUAR3,PRIVADO,NATAL,RN,1956,1958,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
25720,RIO ALTO ENERGIAS RENOVÁVEIS,RIO ALTO ENERGIAS RENOVÁVEIS S.A. - EM RECUPERAÇÃO JUDICIAL,RIO ALTO ENERGIAS RENOVÁVEIS S.A.,Utilities,Energia Elétrica,Categoria A,,EM RECUPERAÇÃO EXTRAJUDICIAL,ATIVO,2.0,38.199.406/0001-18,,PRIVADO,SÃO PAULO,SP,2020,2021,BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
25623,RIO PARANA ENERGIA,RIO PARANA ENERGIA S.A.,RIO PARANA ENERGIA S.A.,Utilities,Energia Elétrica,Categoria B,,FASE OPERACIONAL,ATIVO,2.0,23.096.269/0001-19,,PRIVADO,SÃO PAULO,SP,2015,2021,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
27146,RIO+ SANEAMENTO BL 3,RIO+ SANEAMENTO BL 3 S.A.,,Utilities,"Saneamento, Serv. Água e Gás",Categoria B,,FASE OPERACIONAL,ATIVO,2.0,42.292.007/0001-74,,PRIVADO,RIO DE JANEIRO,RJ,2021,2023,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
25356,RIS,CONCESSIONÁRIA DAS RODOVIAS INTEGRADAS DO SUL S.A.,CONCESSÁRIA DAS RODOVIAS INTEGRADAS DO SUL S.A.,Industria,Emp. Adm. Part. - Serviços Transporte e Logística,Categoria B,,FASE OPERACIONAL,ATIVO,2.0,32.161.500/0001-00,,PRIVADO,PORTO ALEGRE,RS,2018,2020,GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
25801,RODOBENS,RODOBENS S.A.,RODOBENS S.A.,Industria,"Máquinas, Equipamentos, Veículos e Peças",Categoria A,,FASE OPERACIONAL,ATIVO,2.0,59.981.829/0001-65,,PRIVADO HOLDING,SÃO JOSÉ DO RIO PRETO,SP,1979,2021,KPMG AUDITORES INDEPENDENTES LTDA.
20451,RODOBENS NEGOCIOS IMOBILIARIOS,RNI NEGÓCIOS IMOBILIÁRIOS S.A.,RODOBENS NEGOCIOS IMOBILIARIOS SA,Imobiliario,"Construção Civil, Mat. Constr. e Decoração",Categoria B,BOLSA,FASE OPERACIONAL,ATIVO,3.0,67.010.660/0001-24,RDNI3,PRIVADO,SÃO JOSÉ DO RIO PRETO,SP,1949,2007,KPMG AUDITORES INDEPENDENTES LTDA.
23167,RODOVIAS DAS COLINAS,RODOVIAS DAS COLINAS S.A.,,Industria,Serviços Transporte e Logística,Categoria B,BALCÃO ORGANIZADO,FASE OPERACIONAL,ATIVO,2.0,03.025.305/0001-46,,PRIVADO,SÃO PAULO,SP,1999,2013,KPMG AUDITORES INDEPENDENTES LTDA.
26352,RODOVIAS DO BRASIL,RODOVIAS DO BRASIL HOLDING S.A.,RODOVIAS DO BRASIL HOLDING S.A.,Industria,Emp. Adm. Part. - Serviços Transporte e Logística,Categoria B,,FASE OPERACIONAL,ATIVO,2.0,41.508.382/0001-46,,PRIVADO HOLDING,RIO DE JANEIRO,RJ,2021,2021,KPMG AUDITORES INDEPENDENTES LTDA.
22721,RODOVIAS TIETÊ,CONC RODOVIAS DO TIETÊ S.A.- EM RECUPERAÇÃO JUDICIAL,CONCESSIONARIA RODOVIAS TIETE SA,Industria,Serviços Transporte e Logística,Categoria B,,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE,ATIVO,2.0,10.678.505/0001-63,,PRIVADO,SALTO,SP,2009,2012,BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
7510,ROMI,ROMI S.A.,ROMI S.A.,Industria,"Máquinas, Equipamentos, Veículos e Peças",Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,56.720.428/0001-63,ROMI3,PRIVADO,SANTA BÁRBARA D'OESTE,SP,1938,1938,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
22071,ROTA DAS BANDEIRAS,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,Industria,Serviços Transporte e Logística,Categoria B,BALCÃO ORGANIZADO,FASE OPERACIONAL,ATIVO,2.0,10.647.979/0001-48,,PRIVADO,ITATIBA,SP,2009,2010,KPMG AUDITORES INDEPENDENTES LTDA.
23922,ROTA DO OESTE,CONCESSIONÁRIA ROTA DO OESTE S.A.,CONCESSIONÁRIA ROTA DO OESTE S.A.,Industria,Serviços Transporte e Logística,Categoria B,BALCÃO ORGANIZADO,FASE OPERACIONAL,ATIVO,2.0,19.521.322/0001-04,,PRIVADO,CUIABÁ,MT,2013,2016,BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
17450,RUMO,RUMO S.A.,ALL - AMÉRICA LATINA LOGÍSTICA S.A.,Industria,Emp. Adm. Part. - Serviços Transporte e Logística,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,02.387.241/0001-60,RAIL3,PRIVADO HOLDING,SÃO PAULO,SP,1997,1998,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
26484,RUMO MALHA CENTRAL,RUMO MALHA CENTRAL S.A.,RUMO MALHA CENTRAL S.A.,Industria,Serviços Transporte e Logística,Categoria B,,FASE OPERACIONAL,ATIVO,2.0,33.572.408/0001-97,,PRIVADO,SÃO PAULO,SP,2019,2021,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
15300,RUMO MALHA NORTE,RUMO MALHA NORTE S.A.,ALL - AMÉRICA LATINA LOGÍSTICA MALHA NORTE S.A.,Industria,Serviços Transporte e Logística,Categoria B,,FASE OPERACIONAL,ATIVO,2.0,24.962.466/0001-36,,PRIVADO,RONDONÓPOLIS,MT,1988,1995,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
17850,RUMO MALHA OESTE,RUMO MALHA OESTE S.A.,ALL - AMÉRICA LATINA LOGÍSTICA MALHA OESTE S.A.,Industria,Serviços Transporte e Logística,Categoria B,,FASE OPERACIONAL,ATIVO,2.0,39.115.514/0001-28,,PRIVADO,SÃO PAULO,SP,1990,1998,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
17930,RUMO MALHA PAULISTA,RUMO MALHA PAULISTA S.A.,ALL - AMÉRICA LATINA LOGÍSTICA MALHA PAULISTA S.A.,Industria,Serviços Transporte e Logística,Categoria B,,FASE OPERACIONAL,ATIVO,2.0,02.502.844/0001-66,,PRIVADO,SÃO PAULO,SP,1998,1998,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
15709,RUMO MALHA SUL,RUMO MALHA SUL S.A.,ALL - AMÉRICA LATINA LOGÍSTICA MALHA SUL S.A.,Industria,Serviços Transporte e Logística,Categoria B,,FASE OPERACIONAL,ATIVO,2.0,01.258.944/0001-26,,PRIVADO,CURITIBA,PR,1996,1996,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
14443,SABESP,CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO,SABESP,Utilities,"Saneamento, Serv. Água e Gás",Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,43.776.517/0001-80,SBSP3,ESTATAL,SÃO PAULO,SP,1973,1994,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
16241,SANASA,SOCIEDADE ABASTECIMENTO DE AGUA E SANEAMENTO SA,SANASA-CAMPINAS,Utilities,"Saneamento, Serv. Água e Gás",Categoria A,,FASE OPERACIONAL,ATIVO,2.0,46.119.855/0001-37,,ESTATAL,CAMPINAS,SP,1974,1997,BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
19186,SANEAGO,SANEAMENTO DE GOIAS SA,SANEAGO,Utilities,"Saneamento, Serv. Água e Gás",Categoria B,,FASE OPERACIONAL,ATIVO,2.0,01.616.929/0001-02,,ESTATAL,GOIÂNIA,GO,1967,2001,FORVIS MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA.
18627,SANEPAR,CIA. DE SANEAMENTO DO PARANÁ - SANEPAR,SANEPAR,Utilities,"Saneamento, Serv. Água e Gás",Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,76.484.013/0001-45,SAPR11,ESTATAL,CURITIBA,PR,1963,2000,GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
12696,SANSUY INDÚSTRIA DE PLÁSTICOS,SANSUY SA INDÚSTRIA  DE PLASTICOS,SANSUY S.A. INDÚSTRIA DE PLÁSTICOS,Materiais,Petroquímicos e Borracha,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,14.807.945/0001-24,SNSY5,PRIVADO,CAMAÇARI,BA,1979,1986,OPINION AUDITORES INDEPENDENTES EPP
23388,SANTO ANTÔNIO ENERGIA,SANTO ANTONIO ENERGIA S.A.,,Utilities,Energia Elétrica,Categoria B,BALCÃO NÃO ORGANIZADO,FASE OPERACIONAL,ATIVO,2.0,09.391.823/0001-60,,PRIVADO,RIO DE JANEIRO,RJ,2008,2014,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
17892,SANTOS BRASIL PARTICIPAÇÕES,SANTOS BRASIL PARTICIPAÇÕES S.A.,SANTOS BRASIL PARTICIPAÇÕES S.A.,Industria,Emp. Adm. Part. - Serviços Transporte e Logística,Categoria B,BOLSA,FASE OPERACIONAL,ATIVO,3.0,02.762.121/0001-04,STBP3,ESTATAL HOLDING,SÃO PAULO,SP,1998,1998,TATICCA AUDITORES INDEPENDENTES S.S. - EPP
14664,SCHULZ,SCHULZ SA,SCHULZ,Materiais,Metalurgia e Siderurgia,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,84.693.183/0001-68,SHUL4,PRIVADO,JOINVILLE,SC,1963,1994,MARTINELLI AUDITORES
10561,SEIVA - FLORESTAS E INDÚSTRIAS,SEIVA S.A. - FLORESTAS E INDÚSTRIAS,SEIVA S.A. - FLORESTAS E INDÚSTRIAS,Materiais,Reflorestamento,Categoria A,,FASE OPERACIONAL,ATIVO,2.0,87.043.832/0001-73,,PRIVADO,SÃO PAULO,SP,1971,1981,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
26786,SENIOR,SENIOR SISTEMAS S.A.,SENIOR SISTEMAS S.A.,Comunicacao,Comunicação e Informática,Categoria A,,FASE OPERACIONAL,ATIVO,2.0,80.680.093/0001-81,,PRIVADO,BLUMENAU,SC,1988,2022,KPMG AUDITORES INDEPENDENTES LTDA.
25160,SEQUOIA,SEQUOIA LOGÍSTICA E TRANSPORTES S.A.,,Industria,Serviços Transporte e Logística,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,01.599.101/0001-93,SEQL3,PRIVADO,BARUERI,SP,1996,2020,BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
23221,SER EDUCACIONAL,SER EDUCACIONAL S.A.,,Consumo Disc.,Educação,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,04.986.320/0001-13,SEER3,PRIVADO,RECIFE,PE,2002,2013,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
26441,SERENA,SERENA ENERGIA S.A.,SERENA ENERGIA S.A.,Utilities,Emp. Adm. Part. - Energia Elétrica,Categoria B,,FASE OPERACIONAL,ATIVO,2.0,42.500.384/0001-51,,PRIVADO,SÃO PAULO,SP,2021,2021,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
23426,SERENA GERAÇÃO,SERENA GERAÇÃO S.A.,SERENA GERAÇÃO S.A.,Utilities,Emp. Adm. Part. - Energia Elétrica,Categoria B,BOLSA,FASE OPERACIONAL,ATIVO,3.0,09.149.503/0001-06,SRNA3,PRIVADO,SÃO PAULO,SP,2007,2014,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
25003,SIMPAR,SIMPAR S.A.,SIMPAR S.A.,Industria,Serviços Transporte e Logística,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,07.415.333/0001-20,SIMH3,PRIVADO,SÃO PAULO,SP,2005,2020,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
20745,SLC AGRÍCOLA,SLC AGRICOLA SA,SLC AGRICOLA SA,Materiais,"Agricultura (Açúcar, Álcool e Cana)",Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,89.096.457/0001-55,SLCE3,PRIVADO,PORTO ALEGRE,RS,1977,2007,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
24260,SMARTFIT,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,Consumo Disc.,Brinquedos e Lazer,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,07.594.978/0001-78,SMFT3,PRIVADO,SÃO PAULO,SP,2005,2017,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
14303,SNB PARTICIPAÇÕES,SNB PARTICIPACOES SA,SNB PARTICIPAÇÕES S/A,Consumo Disc.,Emp. Adm. Part. - Comércio (Atacado e Varejo),Categoria B,,FASE OPERACIONAL,ATIVO,2.0,73.903.718/0001-61,,PRIVADO,BLUMENAU,SC,1993,1994,TATICCA AUDITORES INDEPENDENTES S.S. - EPP
27014,SOLAR BEBIDAS,SOLAR BEBIDAS S.A.,SOLAR BEBIDAS S.A.,Consumo Basico,Bebidas e Fumo,Categoria A,,FASE OPERACIONAL,ATIVO,2.0,41.052.420/0001-07,,PRIVADO,FORTALEZA,CE,2021,2022,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
27073,SOLVI,SOLVI ESSENCIS AMBIENTAL S.A.,,Utilities,"Saneamento, Serv. Água e Gás",Categoria B,,FASE OPERACIONAL,ATIVO,2.0,40.263.170/0001-83,,PRIVADO,SÃO PAULO,SP,2009,2023,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
10880,SONDOTECNICA,SONDOTECNICA ENGENHARIA SOLOS S.A.,SONDOTECNICA S/A.,Imobiliario,"Construção Civil, Mat. Constr. e Decoração",Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,33.386.210/0001-19,,PRIVADO,RIO DE JANEIRO,RJ,1954,1980,BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
27758,SPE NOVO NORTE AEROPORTOS,SPE NOVO NORTE AEROPORTOS S.A,SPE NOVO NORTE AEROPORTOS S.A,Industria,Emp. Adm. Part. - Serviços Transporte e Logística,Categoria B,,FASE OPERACIONAL,ATIVO,2.0,48.710.127/0001-20,,PRIVADO,BELÉM,PA,2022,2025,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
16586,SUDESTE,SUDESTE SA,SUDESTE S.A.,Industria,Emp. Adm. Part. - Sem Setor Principal,Categoria A,BALCÃO ORGANIZADO,FASE OPERACIONAL,ATIVO,2.0,02.062.747/0001-08,,PRIVADO,RIO DE JANEIRO,RJ,1997,1997,GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
13986,SUZANO,SUZANO S.A.,SUZANO PAPEL E CELULOSE SA,Materiais,Papel e Celulose,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,16.404.287/0001-55,SUZB3,PRIVADO,SALVADOR,BA,1987,1992,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
