ticker,nome,setor_gics,indice
AXON,Axon Enterprise,Industrials,500
AXP,American Express,Financials,500
AXTA,Axalta,Materials,400
AYI,Acuity Brands,Industrials,400
AZO,AutoZone,Consumer Discretionary,500
AZTA,"Azenta, Inc.",Health Care,600
AZZ,"AZZ, Inc.",Industrials,600
BA,Boeing,Industrials,500
BAC,Bank of America,Financials,500
BAH,Booz Allen Hamilton,Industrials,400
BALL,Ball Corporation,Materials,500
BANC,"Banc Of California, Inc.",Financials,600
BANF,Bancfirst Corp,Financials,600
BANR,Banner Corporation,Financials,600
BAX,Baxter International,Health Care,500
BBT,Beacon Financial Corp.,Financials,600
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,400
BBY,Best Buy,Consumer Discretionary,500
BC,Brunswick,Consumer Discretionary,400
BCC,Boise Cascade,Industrials,600
BCO,Brink's,Industrials,400
BCPC,Balchem Corporation,Materials,600
BDC,Belden Inc.,Information Technology,400
BDX,Becton Dickinson,Health Care,500
BEN,Franklin Resources,Financials,500
BF-B,Brown–Forman,Consumer Staples,500
BFAM,Bright Horizons Family Solutions Inc.,Consumer Discretionary,600
BFH,"Bread Financial Holdings, Inc.",Financials,600
BFS,"Saul Centers, Inc.",Real Estate,600
BG,Bunge Global,Consumer Staples,500
BGC,"BGC Group, Inc.",Financials,600
BHE,"Benchmark Electronics, Inc.",Information Technology,600
BHF,Brighthouse Financial,Financials,400
BIIB,Biogen,Health Care,500
BILL,Bill Holdings,Information Technology,400
BIO,Bio-Rad Laboratories,Health Care,400
BJ,BJ's Wholesale Club,Consumer Staples,400
BJRI,"BJ's Restaurants, Inc.",Consumer Discretionary,600
BKE,"The Buckle, Inc.",Consumer Discretionary,600
BKH,Black Hills Corporation,Utilities,400
BKNG,Booking Holdings,Consumer Discretionary,500
BKR,Baker Hughes,Energy,500
BKU,"BankUnited, Inc.",Financials,600
BL,"BlackLine Systems, Inc.",Information Technology,600
BLD,TopBuild Corp.,Consumer Discretionary,400
BLDR,Builders FirstSource,Industrials,500
BLFS,"BioLife Solutions, Inc.",Health Care,600
BLK,BlackRock,Financials,500
BLKB,Blackbaud,Information Technology,400
BMI,"Badger Meter, Inc.",Information Technology,600
BMRN,BioMarin Pharmaceutical,Health Care,400
BMY,Bristol Myers Squibb,Health Care,500
BNL,"Broadstone Net Lease, Inc.",Real Estate,600
BNY,BNY Mellon,Financials,500
BOH,Bank of Hawaii,Financials,600
BOOT,"Boot Barn Holdings, Inc.",Consumer Discretionary,600
BOX,"Box, Inc.",Information Technology,600
BR,Broadridge Financial Solutions,Industrials,500
BRBR,BellRing Brands,Consumer Staples,400
BRC,Brady Corporation,Industrials,600
BRK-B,Berkshire Hathaway,Financials,500
BRKR,Bruker,Health Care,400
BRO,Brown & Brown,Financials,500
BROS,Dutch Bros Inc.,Consumer Discretionary,400
BRX,Brixmor Property Group,Real Estate,400
BSX,Boston Scientific,Health Care,500
BSY,Bentley Systems,Information Technology,400
BTSG,"BrightSpring Health Services, Inc.",Health Care,600
BTU,"Peabody Energy, Inc.",Energy,600
BURL,Burlington Stores,Consumer Discretionary,400
BWA,BorgWarner,Consumer Discretionary,400
BWXT,BWX Technologies,Industrials,400
BX,Blackstone Inc.,Financials,500
BXMT,"Blackstone Mortgage Trust, Inc.",Financials,600
BXP,"BXP, Inc.",Real Estate,500
BYD,Boyd Gaming,Consumer Discretionary,400
C,Citigroup,Financials,500
CABO,Cable One,Communication Services,600
CACI,CACI International,Industrials,400
CAG,Conagra Brands,Consumer Staples,500
CAH,Cardinal Health,Health Care,500
CAKE,"The Cheesecake Factory, Inc.",Consumer Discretionary,600
CALM,"Cal-Maine Foods, Inc.",Consumer Staples,600
CALX,Calix,Information Technology,600
CALY,Callaway Golf Company,Consumer Discretionary,600
CAR,Avis Budget Group,Industrials,400
CARG,CarGurus,Communication Services,600
CARR,Carrier Global,Industrials,500
CART,Maplebear Inc.,Consumer Staples,400
CASH,"Pathward Financial, Inc.",Financials,600
CASY,Casey's,Consumer Staples,500
CAT,Caterpillar Inc.,Industrials,500
CATY,Cathay General Bancorp,Financials,600
CAVA,Cava Group,Consumer Discretionary,400
CB,Chubb Limited,Financials,500
CBOE,Cboe Global Markets,Financials,500
CBRE,CBRE Group,Real Estate,500
CBRL,Cracker Barrel,Consumer Discretionary,600
CBSH,Commerce Bancshares,Financials,400
CBT,Cabot Corp,Materials,400
CBU,"Community Bank System, Inc.",Financials,600
CC,Chemours,Materials,600
CCI,Crown Castle,Real Estate,500
CCK,Crown Holdings,Materials,400
CCL,Carnival Corporation,Consumer Discretionary,500
CCOI,"Cogent Communications Holdings, Inc.",Communication Services,600
CCS,"Century Communities, Inc.",Consumer Discretionary,600
CDNS,Cadence Design Systems,Information Technology,500
CDP,COPT Defense Properties,Real Estate,400
CDW,CDW Corporation,Information Technology,500
CE,Celanese,Materials,600
CEG,Constellation Energy,Utilities,500
CELH,Celsius Holdings,Consumer Staples,400
CENT,Central Garden & Pet Company,Consumer Staples,600
CENTA,Central Garden & Pet Company (Class A),Consumer Staples,600
CENX,Century Aluminum Company,Materials,600
CERT,"Certara, Inc.",Health Care,600
CF,CF Industries,Materials,500
CFFN,Capitol Federal Savings Bank,Financials,600
CFG,Citizens Financial Group,Financials,500
CFR,Frost Bank,Financials,400
CG,Carlyle Group (The),Financials,400
CGNX,Cognex,Information Technology,400
CHCO,City Holding Company,Financials,600
CHD,Church & Dwight,Consumer Staples,500
CHDN,Churchill Downs Inc.,Consumer Discretionary,400
CHE,Chemed Corp.,Health Care,400
CHEF,"Chefs' Warehouse, Inc.",Consumer Staples,600
CHH,Choice Hotels,Consumer Discretionary,400
CHRD,Chord Energy,Energy,400
CHRW,C.H. Robinson,Industrials,500
CHTR,Charter Communications,Communication Services,500
CHWY,Chewy,Consumer Discretionary,400
CI,Cigna,Health Care,500
CIEN,Ciena,Information Technology,500
CINF,Cincinnati Financial,Financials,500
CL,Colgate-Palmolive,Consumer Staples,500
CLB,Core Laboratories,Energy,600
CLF,Cleveland-Cliffs,Materials,400
CLH,Clean Harbors,Industrials,400
CLSK,"CleanSpark, Inc.",Information Technology,600
CLX,Clorox,Consumer Staples,500
CMC,Commercial Metals,Materials,400
CMCSA,Comcast,Communication Services,500
CME,CME Group,Financials,500
CMG,Chipotle Mexican Grill,Consumer Discretionary,500
CMI,Cummins,Industrials,500
CMS,CMS Energy,Utilities,500
CNC,Centene Corporation,Health Care,500
CNH,CNH Industrial,Industrials,400
CNK,"Cinemark Holdings, Inc.",Communication Services,600
CNM,Core & Main,Industrials,400
CNMD,CONMED Corporation,Health Care,600
CNO,CNO Financial Group,Financials,400
CNP,CenterPoint Energy,Utilities,500
CNR,"Core Natural Resources, Inc.",Energy,600
CNS,"Cohen & Steers, Inc.",Financials,600
CNX,CNX Resources,Energy,400
CNXC,Concentrix,Industrials,400
CNXN,"PC Connection, Inc.",Information Technology,600
COCO,The Vita Coco Company,Consumer Staples,600
COF,Capital One,Financials,500
COHR,Coherent Corp.,Information Technology,500
COHU,"Cohu, Inc.",Information Technology,600
COIN,Coinbase,Financials,500
COKE,Coca-Cola Consolidated,Consumer Staples,400
COLB,Columbia Banking System,Financials,400
COLL,"Collegium Pharmaceutical, Inc.",Health Care,600
COLM,Columbia Sportswear,Consumer Discretionary,400
CON,"Concentra Group Holdings Parent, Inc.",Health Care,600
COO,Cooper Companies (The),Health Care,500
COP,ConocoPhillips,Energy,500
COR,Cencora,Health Care,500
CORT,Corcept Therapeutics Incorporated,Health Care,600
COST,Costco,Consumer Staples,500
COTY,Coty,Consumer Staples,400
CPAY,Corpay,Financials,500
CPF,Central Pacific Financial Corp.,Financials,600
CPK,Chesapeake Utilities Corp.,Utilities,600
CPRI,Capri Holdings,Consumer Discretionary,400
CPRT,Copart,Industrials,500
CPRX,"Catalyst Pharmaceuticals Partners, Inc.",Health Care,600
CPT,Camden Property Trust,Real Estate,500
CR,Crane,Industrials,400
CRBG,Corebridge Financial,Financials,400
CRC,California Resources Corporation,Energy,600
CRGY,Crescent Energy Company,Energy,600
CRH,CRH plc,Materials,500
CRI,"Carter's, Inc.",Consumer Discretionary,600
CRK,"Comstock Resources, Inc.",Energy,600
CRL,Charles River Laboratories,Health Care,500
CRM,Salesforce,Information Technology,500
CROX,Crocs,Consumer Discretionary,400
CRS,Carpenter Technology,Industrials,400
CRSR,Corsair Gaming,Information Technology,600
CRUS,Cirrus Logic,Information Technology,400
CRVL,CorVel Corporation,Health Care,600
CRWD,CrowdStrike,Information Technology,500
CSCO,Cisco,Information Technology,500
CSGP,CoStar Group,Real Estate,500
CSL,Carlisle Companies,Industrials,400
CSR,Centerspace Trust,Real Estate,600
CSW,"CSW Industrials, Inc.",Industrials,600
CSX,CSX Corporation,Industrials,500
CTAS,Cintas,Industrials,500
CTKB,"Cytek Biosciences, Inc.",Health Care,600
CTRE,CareTrust REIT,Real Estate,400
CTS,CTS Corporation,Information Technology,600
CTSH,Cognizant,Information Technology,500
CTVA,Corteva,Materials,500
CUBE,CubeSmart,Real Estate,400
CUBI,"Customers Bancorp, Inc.",Financials,600
CURB,Curbline Properties Corp.,Real Estate,600
CUZ,Cousins Properties,Real Estate,400
CVBF,CVB Financial Corp.,Financials,600
CVCO,"Cavco Industries, Inc.",Consumer Discretionary,600
CVI,"CVR Energy, Inc.",Energy,600
CVLT,CommVault Systems,Information Technology,400
CVNA,Carvana,Consumer Discretionary,500
CVS,CVS Health,Health Care,500
CVSA,Covista Inc.,Consumer Discretionary,600
CVX,Chevron Corporation,Energy,500
CW,Curtiss-Wright,Industrials,400
CWEN,"Clearway Energy, Inc. (Class C)",Utilities,600
CWEN-A,"Clearway Energy, Inc. (Class A)",Utilities,600
CWK,Cushman & Wakefield plc,Real Estate,600
CWST,"Casella Waste Systems, Inc.",Industrials,600
CWT,California Water Service Group,Utilities,600
CXM,"Sprinklr, Inc.",Information Technology,600
CXT,Crane NXT,Information Technology,400
CXW,CoreCivic,Industrials,600
CYTK,Cytokinetics,Health Care,400
CZR,Caesars Entertainment,Consumer Discretionary,600
D,Dominion Energy,Utilities,500
DAL,Delta Air Lines,Industrials,500
DAN,Dana Incorporated,Consumer Discretionary,600
DAR,Darling Ingredients,Consumer Staples,400
DASH,DoorDash,Consumer Discretionary,500
DAVE,"Dave, Inc.",Financials,600
DBD,Diebold Nixdorf,Information Technology,600
DBX,Dropbox,Information Technology,400
DCH,Dauch Corporation,Consumer Discretionary,600
DCI,Donaldson Company,Industrials,400
DCOM,"Dime Community Bancshares, Inc.",Financials,600
DD,DuPont,Materials,500
DDOG,Datadog,Information Technology,500
DE,Deere & Company,Industrials,500
DEA,"Easterly Government Properties, Inc.",Real Estate,600
DECK,Deckers Brands,Consumer Discretionary,500
DEI,Douglas Emmett,Real Estate,600
DELL,Dell Technologies,Information Technology,500
