ticker,nome,setor_gics,indice
HL,Hecla Mining,Materials,400
HLI,Houlihan Lokey,Financials,400
HLIT,Harmonic Inc.,Information Technology,600
HLNE,Hamilton Lane,Financials,400
HLT,Hilton Worldwide,Consumer Discretionary,500
HLX,"Helix Energy Solutions Group, Inc.",Energy,600
HMN,Horace Mann Educators Corporation,Financials,600
HNI,HNI Corporation,Industrials,600
HOG,Harley-Davidson,Consumer Discretionary,400
HOMB,Home BancShares,Financials,400
HON,Honeywell,Industrials,500
HOOD,Robinhood Markets,Financials,500
HOPE,"Hope Bancorp, Inc.",Financials,600
HP,"Helmerich & Payne, Inc.",Energy,600
HPE,Hewlett Packard Enterprise,Information Technology,500
HPQ,HP Inc.,Information Technology,500
HQY,HealthEquity,Health Care,400
HR,Healthcare Realty Trust,Real Estate,400
HRB,H&R Block,Consumer Discretionary,400
HRL,Hormel Foods,Consumer Staples,500
HRMY,"Harmony Biosciences Holdings, Inc.",Health Care,600
HSIC,Henry Schein,Health Care,500
HST,Host Hotels & Resorts,Real Estate,500
HSTM,"HealthStream, Inc.",Health Care,600
HSY,Hershey Company (The),Consumer Staples,500
HTH,Hilltop Holdings Inc.,Financials,600
HTLD,"Heartland Express, Inc.",Industrials,600
HTO,H2O America,Utilities,600
HTZ,Hertz,Industrials,600
HUBB,Hubbell Incorporated,Industrials,500
HUBG,"Hub Group, Inc.",Industrials,600
HUM,Humana,Health Care,500
HWC,Hancock Whitney,Financials,400
HWKN,"Hawkins, Inc.",Materials,600
HWM,Howmet Aerospace,Industrials,500
HXL,Hexcel,Industrials,400
HZO,"MarineMax, Inc.",Consumer Discretionary,600
IART,Integra Lifesciences Holdings,Health Care,600
IBKR,Interactive Brokers,Financials,500
IBM,IBM,Information Technology,500
IBOC,Intl Bancshares Corp,Financials,400
IBP,"Installed Building Products, Inc.",Consumer Discretionary,600
ICE,Intercontinental Exchange,Financials,500
ICHR,"Ichor Holdings, Ltd.",Information Technology,600
ICUI,ICU Medical,Health Care,600
IDA,Idacorp,Utilities,400
IDCC,InterDigital,Information Technology,400
IDXX,Idexx Laboratories,Health Care,500
IEX,IDEX Corporation,Industrials,500
IFF,International Flavors & Fragrances,Materials,500
IIIN,"Insteel Industries, Inc.",Industrials,600
IIPR,"Innovative Industrial Properties, Inc.",Real Estate,600
ILMN,"Illumina, Inc.",Health Care,400
INCY,Incyte,Health Care,500
INDB,Independent Bank Corp.,Financials,600
INDV,Indivior,Health Care,600
INGR,Ingredion,Consumer Staples,400
INSP,"Inspire Medical Systems, Inc.",Health Care,600
INSW,"International Seaways, Inc.",Energy,600
INTC,Intel,Information Technology,500
INTU,Intuit,Information Technology,500
INVA,"Innoviva, Inc.",Health Care,600
INVH,Invitation Homes,Real Estate,500
INVX,"Innovex International, Inc.",Energy,600
IOSP,"Innospec, Inc.",Materials,600
IP,International Paper,Materials,500
IPAR,"Inter Parfums, Inc.",Consumer Staples,600
IPGP,IPG Photonics,Information Technology,400
IQV,IQVIA,Health Care,500
IR,Ingersoll Rand,Industrials,500
IRDM,Iridium Communications,Communication Services,600
IRM,Iron Mountain,Real Estate,500
IRT,IRT Living,Real Estate,400
ISRG,Intuitive Surgical,Health Care,500
IT,Gartner,Information Technology,500
ITGR,Integer Holdings Corporation,Health Care,600
ITRI,"Itron, Inc.",Information Technology,600
ITT,ITT Inc.,Industrials,400
ITW,Illinois Tool Works,Industrials,500
IVZ,Invesco,Financials,500
J,Jacobs Solutions,Industrials,500
JAZZ,Jazz Pharmaceuticals,Health Care,400
JBGS,JBG Smith,Real Estate,600
JBHT,J.B. Hunt,Industrials,500
JBL,Jabil,Information Technology,500
JBLU,JetBlue,Industrials,600
JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Staples,600
JBTM,JBT Marel Corporation,Industrials,600
JCI,Johnson Controls,Industrials,500
JEF,Jefferies,Financials,400
JHG,Janus Henderson,Financials,400
JJSF,J&J Snack Foods Corp.,Consumer Staples,600
JKHY,Jack Henry & Associates,Financials,500
JLL,Jones Lang LaSalle,Real Estate,400
JNJ,Johnson & Johnson,Health Care,500
JOE,St. Joe Company,Real Estate,600
JPM,JPMorgan Chase,Financials,500
JXN,"Jackson Financial, Inc.",Financials,600
KAI,Kadant Inc.,Industrials,600
KALU,Kaiser Aluminum Corporation,Materials,600
KBH,KB Home,Consumer Discretionary,400
KBR,"KBR, Inc.",Industrials,400
KD,Kyndryl,Information Technology,400
KDP,Keurig Dr Pepper,Consumer Staples,500
KEX,Kirby Corporation,Industrials,400
KEY,KeyCorp,Financials,500
KEYS,Keysight Technologies,Information Technology,500
KFY,Korn/Ferry International,Industrials,600
KGS,"Kodiak Gas Services, Inc.",Energy,600
KHC,Kraft Heinz,Consumer Staples,500
KIM,Kimco Realty,Real Estate,500
KKR,KKR & Co.,Financials,500
KLAC,KLA Corporation,Information Technology,500
KLIC,"Kulicke and Soffa Industries, Inc.",Information Technology,600
KMB,Kimberly-Clark,Consumer Staples,500
KMI,Kinder Morgan,Energy,500
KMPR,Kemper Corporation,Financials,600
KMT,Kennametal,Industrials,600
KMX,"CarMax, Inc.",Consumer Discretionary,600
KN,Knowles Corporation,Information Technology,600
KNF,Knife River Corporation,Materials,400
KNSL,Kinsale Capital Group,Financials,400
KNTK,"Kinetik Holdings, Inc.",Energy,600
KNX,Knight-Swift,Industrials,400
KO,Coca-Cola Company (The),Consumer Staples,500
KOP,"Koppers Holdings, Inc.",Materials,600
KR,Kroger,Consumer Staples,500
KRC,Kilroy Realty Corp,Real Estate,400
KRG,Kite Realty Group Trust,Real Estate,400
KRYS,"Krystal Biotech, Inc.",Health Care,600
KSS,Kohl's Corp.,Consumer Discretionary,600
KTB,Kontoor Brands,Consumer Discretionary,600
KTOS,Kratos Defense & Security Solutions,Industrials,400
KVUE,Kenvue,Consumer Staples,500
KW,"Kennedy-Wilson Holdings, Inc.",Real Estate,600
KWR,Quaker Chemical Corporation,Materials,600
L,Loews Corporation,Financials,500
LAD,Lithia Motors,Consumer Discretionary,400
LAMR,Lamar Advertising Company,Real Estate,400
LAUR,"Laureate Education, Inc.",Consumer Discretionary,600
LBRT,"Liberty Energy, Inc.",Energy,600
LCII,LCI Industries,Consumer Discretionary,600
LDOS,Leidos,Industrials,500
LEA,Lear,Consumer Discretionary,400
LECO,Lincoln Electric,Industrials,400
LEG,Leggett & Platt,Consumer Discretionary,600
LEN,Lennar,Consumer Discretionary,500
LFST,Lifestance Health,Health Care,600
LFUS,Littelfuse,Information Technology,400
LGIH,LGI Homes,Consumer Discretionary,600
LGND,"Ligand Pharmaceuticals, Inc.",Health Care,600
LH,Labcorp,Health Care,500
LHX,L3Harris,Industrials,500
LIF,Life360,Information Technology,600
LII,Lennox International,Industrials,500
LIN,Linde plc,Materials,500
LITE,Lumentum,Information Technology,500
LIVN,LivaNova,Health Care,400
LKFN,Lakeland Financial,Financials,600
LKQ,LKQ Corporation,Consumer Discretionary,600
LLY,Lilly (Eli),Health Care,500
LMAT,LeMaitre Vascular,Health Care,600
LMT,Lockheed Martin,Industrials,500
LNC,Lincoln Financial,Financials,600
LNN,Lindsay Corporation,Materials,600
LNT,Alliant Energy,Utilities,500
LNTH,Lantheus Holdings,Health Care,400
LOPE,Grand Canyon Education,Consumer Discretionary,400
LOW,Lowe's,Consumer Discretionary,500
LPG,Dorian LPG Ltd.,Energy,600
LPX,Louisiana-Pacific,Materials,400
LQDT,"Liquidity Services, Inc.",Industrials,600
LRCX,Lam Research,Information Technology,500
LRN,"Stride, Inc.",Consumer Discretionary,600
LSCC,Lattice Semiconductor,Information Technology,400
LSTR,Landstar System,Industrials,400
LTC,"LTC Properties, Inc.",Real Estate,600
LTH,"Life Time Group Holdings, Inc.",Consumer Discretionary,600
LULU,Lululemon Athletica,Consumer Discretionary,500
LUMN,Lumen Technologies,Communication Services,600
LUV,Southwest Airlines,Industrials,500
LVS,Las Vegas Sands,Consumer Discretionary,500
LW,Lamb Weston,Consumer Staples,600
LXP,Lexington Realty Trust,Real Estate,600
LYB,LyondellBasell,Materials,500
LYFT,"Lyft, Inc.",Industrials,600
LYV,Live Nation Entertainment,Communication Services,500
LZ,"LegalZoom.com, Inc.",Industrials,600
LZB,"La-Z-Boy, Inc.",Consumer Discretionary,600
M,Macy's,Consumer Discretionary,400
MA,Mastercard,Financials,500
MAA,Mid-America Apartment Communities,Real Estate,500
MAC,Macerich,Real Estate,600
MAN,ManpowerGroup,Industrials,600
MANH,Manhattan Associates,Information Technology,400
MAR,Marriott International,Consumer Discretionary,500
MARA,"MARA Holdings, Inc.",Information Technology,600
MAS,Masco,Industrials,500
MAT,Mattel,Consumer Discretionary,400
MATW,Matthews International Corporation,Consumer Discretionary,600
MATX,"Matson, Inc.",Industrials,600
MBC,"MasterBrand, Inc.",Industrials,600
MBIN,Merchants Bancorp,Financials,600
MC,Moelis & Company,Financials,600
MCD,McDonald's,Consumer Discretionary,500
MCHP,Microchip Technology,Information Technology,500
MCK,McKesson Corporation,Health Care,500
MCO,Moody's Corporation,Financials,500
MCRI,"Monarch Casino & Resort, Inc.",Consumer Discretionary,600
MCY,Mercury General,Financials,600
MD,Pediatrix Medical Group,Health Care,600
MDLZ,Mondelez International,Consumer Staples,500
MDT,Medtronic,Health Care,500
MDU,"MDU Resources Group, Inc.",Utilities,600
MEDP,Medpace,Health Care,400
MET,MetLife,Financials,500
META,Meta Platforms,Communication Services,500
MGEE,"MGE Energy, Inc.",Utilities,600
MGM,MGM Resorts,Consumer Discretionary,500
MGY,"Magnolia Oil & Gas, Corp.",Energy,600
MHK,Mohawk Industries,Consumer Discretionary,600
MHO,"M/I Homes, Inc.",Consumer Discretionary,600
MIDD,Middleby,Industrials,400
MIR,"Mirion Technologies, Inc.",Information Technology,600
MKC,McCormick & Company,Consumer Staples,500
MKSI,MKS Instruments,Information Technology,400
MKTX,MarketAxess,Financials,600
MLI,Mueller Industries,Industrials,400
MLKN,"MillerKnoll, Inc.",Industrials,600
MLM,Martin Marietta Materials,Materials,500
MMI,"Marcus & Millichap, Inc.",Real Estate,600
MMM,3M,Industrials,500
MMS,Maximus Inc.,Industrials,400
MMSI,"Merit Medical Systems, Inc.",Health Care,600
MNRO,"Monro, Inc.",Consumer Discretionary,600
MNST,Monster Beverage,Consumer Staples,500
MO,Altria,Consumer Staples,500
MOG-A,Moog Inc.,Industrials,400
MOH,Molina Healthcare,Health Care,600
MORN,"Morningstar, Inc.",Financials,400
MOS,Mosaic Company (The),Materials,500
MP,MP Materials,Materials,400
MPC,Marathon Petroleum,Energy,500
MPT,Medical Properties Trust,Real Estate,600
MPWR,Monolithic Power Systems,Information Technology,500
MRCY,Mercury Systems,Industrials,600
MRK,Merck & Co.,Health Care,500
MRNA,Moderna,Health Care,500
MRP,"Millrose Properties, Inc.",Real Estate,600
MRSH,Marsh McLennan,Financials,500
MRTN,"Marten Transport, Ltd.",Industrials,600
MRVL,Marvell Technology,Information Technology,500
MS,Morgan Stanley,Financials,500
MSA,MSA Safety,Industrials,400
MSCI,MSCI Inc.,Financials,500
MSEX,Middlesex Water Company,Utilities,600
MSFT,Microsoft,Information Technology,500
MSGS,Madison Square Garden Sports Corp.,Communication Services,600
MSI,Motorola Solutions,Information Technology,500
MSM,MSC Industrial Direct,Industrials,400
MTB,M&T Bank,Financials,500
MTCH,Match Group,Communication Services,600
MTD,Mettler Toledo,Health Care,500
MTDR,Matador Resources,Energy,400
MTG,MGIC Investment Corporation,Financials,400
MTH,Meritage Homes Corporation,Consumer Discretionary,600
MTN,Vail Resorts,Consumer Discretionary,400
MTRN,Materion Corp.,Materials,600
MTSI,MACOM Technology Solutions,Information Technology,400
MTUS,Metallus Inc,Materials,600
MTX,Minerals Technologies,Materials,600
MTZ,MasTec,Industrials,400
MU,Micron Technology,Information Technology,500
MUR,Murphy Oil,Energy,400
MUSA,Murphy USA,Consumer Discretionary,400
MWA,Mueller Water Products,Industrials,600
MXL,"MaxLinear, Inc.",Information Technology,600
MYRG,"MYR Group, Inc.",Industrials,600
MZTI,The Marzetti Company,Consumer Staples,400
NABL,"N-able, Inc.",Information Technology,600
NATL,NCR Atleos,Financials,600
NAVI,Navient,Financials,600
NBHC,National Bank Holdings Corporation,Financials,600
NBIX,Neurocrine Biosciences,Health Care,400
NBTB,"NBT Bancorp, Inc.",Financials,600
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,500
NDAQ,"Nasdaq, Inc.",Financials,500
NDSN,Nordson Corporation,Industrials,500
NE,Noble Corporation,Energy,600
NEE,NextEra Energy,Utilities,500
NEM,Newmont,Materials,500
NEO,"NeoGenomics Laboratories, Inc.",Health Care,600
NEOG,Neogen,Health Care,600
NEU,NewMarket Corporation,Materials,400
NFG,National Fuel Gas,Utilities,400
NFLX,Netflix,Communication Services,500
NGVT,"Ingevity, Corp.",Materials,600
NHC,"National Healthcare, Corp.",Health Care,600
NI,NiSource,Utilities,500
NJR,New Jersey Resources,Utilities,400
NKE,"Nike, Inc.",Consumer Discretionary,500
NLY,Annaly Capital Management,Financials,400
NMIH,"NMI Holdings, Inc.",Financials,600
NNN,NNN Reit,Real Estate,400
NOC,Northrop Grumman,Industrials,500
NOG,"Northern Oil and Gas, Inc.",Energy,600
NOV,NOV Inc.,Energy,400
NOVT,Novanta,Information Technology,400
NOW,ServiceNow,Information Technology,500
NPK,"National Presto Industries, Inc.",Industrials,600
NPO,"EnPro Industries, Inc.",Industrials,600
NRG,NRG Energy,Utilities,500
NSA,National Storage Affiliates Trust,Real Estate,400
NSC,Norfolk Southern,Industrials,500
NSIT,"Insight Enterprises, Inc.",Industrials,600
NSP,Insperity,Industrials,600
NSSC,Napco Security Technologies,Information Technology,600
NTAP,NetApp,Information Technology,500
NTCT,"NETSCOUT Systems, Inc.",Information Technology,600
NTNX,Nutanix,Information Technology,400
NTRS,Northern Trust,Financials,500
NUE,Nucor,Materials,500
NVDA,Nvidia,Information Technology,500
NVR,"NVR, Inc.",Consumer Discretionary,500
NVST,Envista Holdings,Health Care,400
NVT,nVent Electric plc,Industrials,400
NWBI,"Northwest Bancshares, Inc.",Financials,600
NWE,NorthWestern Energy,Utilities,400
NWL,Newell Brands,Consumer Discretionary,600
NWN,NW Natural,Utilities,600
NWS,News Corp (Class B),Communication Services,500
NWSA,News Corp (Class A),Communication Services,500
NX,Quanex Building Products Corporation,Industrials,600
NXPI,NXP Semiconductors,Information Technology,500
NXRT,"NexPoint Residential Trust, Inc.",Real Estate,600
NXST,Nexstar Media Group,Communication Services,400
NXT,Nextpower,Industrials,400
NYT,New York Times Company,Communication Services,400
O,Realty Income,Real Estate,500
OC,Owens Corning,Industrials,400
ODFL,Old Dominion,Industrials,500
OFG,OFG Bancorp,Financials,600
OGE,OGE Energy,Utilities,400
OGN,Organon & Co.,Health Care,600
OGS,One Gas,Utilities,400
OHI,Omega Healthcare Investors,Real Estate,400
OI,"O-I Glass, Inc.",Materials,600
OII,"Oceaneering International, Inc.",Energy,600
OKE,Oneok,Energy,500
OKTA,"Okta, Inc.",Information Technology,400
OLED,Universal Display,Information Technology,400
OLLI,Ollie's Bargain Outlet,Consumer Discretionary,400
OLN,Olin Corporation,Materials,400
OMC,Omnicom Group,Communication Services,500
OMCL,Omnicell,Health Care,600
ON,ON Semiconductor,Information Technology,500
ONB,Old National Bank,Financials,400
ONTO,Onto Innovation,Information Technology,400
OPCH,Option Care Health,Health Care,400
OPLN,"OPENLANE, Inc.",Industrials,600
ORA,Ormat Technologies,Utilities,400
ORCL,Oracle Corporation,Information Technology,500
ORI,Old Republic International,Financials,400
ORLY,O’Reilly Automotive,Consumer Discretionary,500
OSIS,"OSI Systems, Inc.",Information Technology,600
OSK,Oshkosh,Industrials,400
OSW,OneSpaWorld Holdings Limited,Consumer Discretionary,600
OTIS,Otis Worldwide,Industrials,500
OTTR,Otter Tail Corporation,Utilities,600
OUT,Outfront Media,Real Estate,600
OVV,Ovintiv,Energy,400
OXM,"Oxford Industries, Inc.",Consumer Discretionary,600
OXY,Occidental Petroleum,Energy,500
OZK,Bank OZK,Financials,400
P,Everpure,Information Technology,400
PAG,Penske Automotive Group,Consumer Discretionary,400
PAHC,Phibro Animal Health,Health Care,600
PANW,Palo Alto Networks,Information Technology,500
PARR,"Par Pacific Holdings, Inc.",Energy,600
PATH,UiPath,Information Technology,400
PATK,"Patrick Industries, Inc.",Consumer Discretionary,600
PAYC,Paycom,Industrials,600
PAYO,Payoneer Global Inc.,Financials,600
PAYX,Paychex,Industrials,500
PB,Prosperity Bancshares,Financials,400
PBF,PBF Energy,Energy,400
PBH,Prestige Consumer Healthcare,Health Care,600
PBI,"Pitney Bowes, Inc.",Industrials,600
PCAR,Paccar,Industrials,500
PCG,PG&E Corporation,Utilities,500
PCRX,"Pacira BioSciences, Inc.",Health Care,600
PCTY,Paylocity,Industrials,400
PDFS,"PDF Solutions, Inc.",Information Technology,600
PEB,Pebblebrook Hotel Trust,Real Estate,600
PECO,Phillips Edison & Company,Real Estate,600
PEG,Public Service Enterprise Group,Utilities,500
PEGA,Pegasystems,Information Technology,400
PEN,"Penumbra, Inc.",Health Care,400
PENG,"Penguin Solutions, Inc.",Information Technology,600
PENN,Penn Entertainment,Consumer Discretionary,600
PEP,PepsiCo,Consumer Staples,500
PFBC,Preferred Bank,Financials,600
PFE,Pfizer,Health Care,500
PFG,Principal Financial Group,Financials,500
PFGC,Performance Food Group,Consumer Staples,400
PFS,"Provident Financial Services, Inc.",Financials,600
PG,Procter & Gamble,Consumer Staples,500
PGNY,Progyny,Health Care,600
PGR,Progressive Corporation,Financials,500
PH,Parker Hannifin,Industrials,500
PHIN,"PHINIA, Inc.",Consumer Discretionary,600
PHM,PulteGroup,Consumer Discretionary,500
PI,"Impinj, Inc.",Information Technology,600
PII,Polaris,Consumer Discretionary,400
PINS,Pinterest,Communication Services,400
PIPR,Piper Sandler Companies,Financials,600
PJT,"PJT Partners, Inc.",Financials,600
PK,Park Hotels & Resorts,Real Estate,400
PKG,Packaging Corporation of America,Materials,500
PLAB,"Photronics, Inc.",Information Technology,600
PLD,Prologis,Real Estate,500
PLMR,"Palomar Holdings, Inc.",Financials,600
PLNT,Planet Fitness,Consumer Discretionary,400
PLTR,Palantir Technologies,Information Technology,500
PLUS,"ePlus, Inc.",Information Technology,600
PLXS,Plexus Corp.,Information Technology,600
PM,Philip Morris International,Consumer Staples,500
PMT,PennyMac Mortgage Investment Trust,Real Estate,600
PNC,PNC Financial Services,Financials,500
PNFP,Pinnacle Financial Partners,Financials,400
PNR,Pentair,Industrials,500
PNW,Pinnacle West Capital,Utilities,500
PODD,Insulet Corporation,Health Care,500
POR,Portland General Electric,Utilities,400
POST,Post Holdings,Consumer Staples,400
POWI,Power Integrations,Information Technology,600
POWL,"Powell Industries, Inc.",Industrials,600
PPC,Pilgrim's Pride,Consumer Staples,400
PPG,PPG Industries,Materials,500
PPL,PPL Corporation,Utilities,500
PPLI,People Inc.,Communication Services,600
PR,Permian Resources,Energy,400
PRA,ProAssurance Corporation,Financials,600
PRAA,"PRA Group, Inc.",Financials,600
PRDO,Perdoceo Education Corp.,Consumer Discretionary,600
PRG,"PROG Holdings, Inc.",Financials,600
PRGO,Perrigo,Health Care,600
PRGS,Progress Software Corporation,Information Technology,600
PRI,Primerica,Financials,400
PRIM,Primoris Services Corporation,Industrials,600
PRK,Park National Corp.,Financials,600
PRKS,United Parks & Resorts,Consumer Discretionary,600
PRLB,Protolabs,Industrials,600
PRSU,"Pursuit Attractions & Hospitality, Inc.",Consumer Discretionary,600
PRU,Prudential Financial,Financials,500
PRVA,"Privia Health Group, Inc.",Health Care,600
PSA,Public Storage,Real Estate,500
PSKY,Paramount Skydance Corporation,Communication Services,500
PSMT,PriceSmart,Consumer Staples,600
PSN,Parsons Corporation,Industrials,400
PSX,Phillips 66,Energy,500
PTC,PTC Inc.,Information Technology,500
PTCT,"PTC Therapeutics, Inc.",Health Care,600
PTEN,"Patterson-UTI Energy, Inc.",Energy,600
PTGX,"Protagonist Therapeutics, Inc.",Health Care,600
PTON,"Peloton Interactive, Inc.",Consumer Discretionary,600
PVH,PVH Corp.,Consumer Discretionary,400
PWR,Quanta Services,Industrials,500
PYPL,PayPal,Financials,500
PZZA,Papa John's Pizza,Consumer Discretionary,600
Q,Qnity Electronics,Information Technology,500
QCOM,Qualcomm,Information Technology,500
QDEL,QuidelOrtho,Health Care,600
QLYS,Qualys,Information Technology,400
QNST,"QuinStreet, Inc.",Communication Services,600
QRVO,Qorvo,Information Technology,600
QTWO,"Q2 Holdings, Inc.",Information Technology,600
R,Ryder,Industrials,400
RAL,Ralliant Corp,Information Technology,600
RAMP,"LiveRamp Holdings, Inc.",Information Technology,600
RBA,RB Global,Industrials,400
RBC,RBC Bearings,Industrials,400
RCL,Royal Caribbean Group,Consumer Discretionary,500
RCUS,"Arcus Biosciences, Inc.",Health Care,600
RDN,"Radian Group, Inc.",Financials,600
RDNT,"RadNet, Inc.",Health Care,600
REG,Regency Centers,Real Estate,500
REGN,Regeneron Pharmaceuticals,Health Care,500
RELY,Remitly,Financials,600
RES,"RPC, Inc.",Energy,600
REX,REX American Resources Corporation,Energy,600
REXR,Rexford Industrial Realty,Real Estate,400
REYN,Reynolds Consumer Products,Consumer Staples,600
REZI,"Resideo Technologies, Inc.",Industrials,600
RF,Regions Financial Corporation,Financials,500
RGA,Reinsurance Group of America,Financials,400
RGEN,Repligen,Health Care,400
RGLD,Royal Gold,Materials,400
RH,RH,Consumer Discretionary,400
RHI,Robert Half,Industrials,600
RHP,Ryman Hospitality Properties,Real Estate,600
RITM,Rithm Capital,Financials,600
RJF,Raymond James Financial,Financials,500
RL,Ralph Lauren Corporation,Consumer Discretionary,500
RLI,RLI Corp.,Financials,400
RMBS,Rambus,Information Technology,400
RMD,ResMed,Health Care,500
RNG,"RingCentral, Inc.",Information Technology,600
RNR,RenaissanceRe,Financials,400
RNST,Renasant Corp.,Financials,600
ROCK,"Gibraltar Industries, Inc.",Industrials,600
ROG,Rogers Corporation,Information Technology,600
ROIV,Roivant Sciences,Health Care,400
ROK,Rockwell Automation,Industrials,500
ROL,"Rollins, Inc.",Industrials,500
ROP,Roper Technologies,Information Technology,500
ROST,Ross Stores,Consumer Discretionary,500
RPM,RPM International,Materials,400
RRC,Range Resources,Energy,400
RRR,"Red Rock Resorts, Inc.",Consumer Discretionary,600
RRX,Regal Rexnord,Industrials,400
RS,"Reliance, Inc.",Materials,400
RSG,Republic Services,Industrials,500
RTX,RTX Corporation,Industrials,500
RUN,Sunrun,Industrials,600
RUSHA,Rush Enterprises,Industrials,600
RVTY,Revvity,Health Care,500
RWT,"Redwood Trust, Inc.",Real Estate,600
RXO,"RXO, Inc.",Industrials,600
RYAN,Ryan Specialty,Financials,400
RYN,Rayonier,Real Estate,400
SABR,Sabre,Consumer Discretionary,600
SAFE,"Safehold, Inc.",Real Estate,600
SAFT,"Safety Insurance Group, Inc.",Financials,600
SAH,"Sonic Automotive, Inc.",Consumer Discretionary,600
SAIA,Saia,Industrials,400
SAIC,Science Applications Intl Corp,Industrials,400
SAM,Boston Beer Company,Consumer Staples,400
SANM,Sanmina Corporation,Information Technology,600
SARO,StandardAero,Industrials,400
SATS,EchoStar,Communication Services,500
SBAC,SBA Communications,Real Estate,500
SBCF,Seacoast Banking Corporation of Florida,Financials,600
SBH,"Sally Beauty Holdings, Inc.",Consumer Discretionary,600
SBRA,Sabra Health Care REIT,Real Estate,400
SBSI,"Southside Bancshares, Inc.",Financials,600
SBUX,Starbucks,Consumer Discretionary,500
SCHL,Scholastic Corporation,Consumer Discretionary,600
SCHW,Charles Schwab Corporation,Financials,500
SCI,Service Corp Intl,Consumer Discretionary,400
SCL,Stepan Company,Materials,600
SCSC,"ScanSource, Inc.",Information Technology,600
SDGR,"Schrödinger, Inc.",Health Care,600
SEDG,SolarEdge,Information Technology,600
SEIC,SEI Investments Company,Financials,400
SEM,"Select Medical Holdings, Corp.",Health Care,600
SEZL,Sezzle,Financials,600
SF,Stifel,Financials,400
SFBS,"ServisFirst Bancshares, Inc.",Financials,600
SFM,Sprouts Farmers Market,Consumer Staples,400
SFNC,Simmons First National Corporation,Financials,600
SGI,Somnigroup International,Consumer Discretionary,400
SHAK,"Shake Shack, Inc.",Consumer Discretionary,600
SHC,Sotera Health,Health Care,400
SHEN,Shenandoah Telecommunications Co,Communication Services,600
SHO,"Sunstone Hotel Investors, Inc.",Real Estate,600
SHOO,"Steven Madden, Ltd.",Consumer Discretionary,600
SHW,Sherwin-Williams,Materials,500
SIG,Signet Jewelers,Consumer Discretionary,600
SIGI,Selective Insurance Group,Financials,400
SIRI,SiriusXM,Communication Services,400
SITM,SiTime,Information Technology,400
SJM,J.M. Smucker Company (The),Consumer Staples,500
SKT,"Tanger Factory Outlet Centers, Inc.",Real Estate,600
SKY,"Champion Homes, Inc.",Consumer Discretionary,600
SKYW,"SkyWest, Inc.",Industrials,600
SLAB,Silicon Labs,Information Technology,400
SLB,Schlumberger,Energy,500
SLG,SL Green Realty,Real Estate,600
SLGN,Silgan Holdings,Materials,400
SLM,SLM Corp,Financials,400
SLVM,Sylvamo Corp.,Materials,600
SM,SM Energy Company,Energy,600
SMCI,Supermicro,Information Technology,500
SMG,Scotts Miracle-Gro Company,Materials,400
SMP,"Standard Motor Products, Inc.",Consumer Discretionary,600
SMPL,Simply Good Foods Company,Consumer Staples,600
SMTC,Semtech Corporation,Information Technology,600
SN,SharkNinja,Consumer Discretionary,400
SNA,Snap-on,Industrials,500
SNDK,Sandisk,Information Technology,500
SNDR,Schneider National,Industrials,600
SNEX,StoneX Group Inc.,Financials,600
SNPS,Synopsys,Information Technology,500
SNX,TD Synnex,Information Technology,400
SO,Southern Company,Utilities,500
SOLS,Solstice Advanced Materials,Materials,400
SOLV,Solventum,Health Care,500
SON,Sonoco,Materials,400
SONO,"Sonos, Inc.",Consumer Discretionary,600
SPG,Simon Property Group,Real Estate,500
SPGI,S&P Global,Financials,500
SPHR,Sphere Entertainment,Communication Services,600
SPNT,SiriusPoint Ltd.,Financials,600
SPSC,"SPS Commerce, Inc.",Information Technology,600
SPXC,SPX Technologies,Industrials,400
SR,Spire,Utilities,400
SRE,Sempra,Utilities,500
SRPT,Sarepta Therapeutics,Health Care,600
SSB,South State Bank,Financials,400
SSD,Simpson Manufacturing,Industrials,400
ST,Sensata Technologies,Industrials,400
STAA,STAAR Surgical Company,Health Care,600
STAG,STAG Industrial,Real Estate,400
STBA,"S&T Bancorp, Inc.",Financials,600
STC,Stewart Information Services Corporation,Financials,600
STE,Steris,Health Care,500
STEL,"Stellar Bancorp, Inc.",Financials,600
STEP,StepStone Group,Financials,600
STLD,Steel Dynamics,Materials,500
STRA,"Strategic Education, Inc.",Consumer Discretionary,600
STRL,Sterling Infrastructure,Industrials,400
STT,State Street Corporation,Financials,500
STWD,Starwood Property Trust,Financials,400
STX,Seagate Technology,Information Technology,500
STZ,Constellation Brands,Consumer Staples,500
SUPN,"Supernus Pharmaceuticals, Inc.",Health Care,600
SW,Smurfit Westrock,Materials,500
SWK,Stanley Black & Decker,Industrials,500
SWKS,Skyworks Solutions,Information Technology,500
SWX,Southwest Gas Corp,Utilities,400
SXI,Standex International Corporation,Industrials,600
SXT,Sensient Technologies,Materials,600
SYF,Synchrony Financial,Financials,500
SYK,Stryker Corporation,Health Care,500
SYNA,Synaptics,Information Technology,400
SYY,Sysco,Consumer Staples,500
T,AT&T,Communication Services,500
TALO,"Talos Energy, Inc.",Energy,600
TAP,Molson Coors Beverage Company,Consumer Staples,500
TBBK,"The Bancorp, Inc.",Financials,600
TCBI,Texas Capital Bancshares,Financials,400
TDC,Teradata,Information Technology,600
TDG,TransDigm Group,Industrials,500
